,0,1,2,Date
0,-27139.985533126128,16055.0950955362,10674.443578204711,2020-05-01
0,15547.093808590585,53333.882995960375,46454.88627135067,2020-05-04
0,6965.236640613059,48541.10741253849,43226.59291935347,2020-05-05
0,10250.482630335388,23188.80803770915,45537.085576319805,2020-05-06
0,10931.576014562168,5556.448372751793,36911.79833047908,2020-05-07
0,8660.683851498325,2041.3928139527052,49572.1422660076,2020-05-08
0,10826.02157807391,5963.047704243827,30308.496218466113,2020-05-11
0,-17368.654665542344,4132.374249091974,21100.234450021635,2020-05-12
0,-7095.641521054554,23978.10049879804,28066.62294189966,2020-05-13
0,7351.236029163441,55557.43747962448,35596.39577059613,2020-05-14
0,12560.868504153073,37643.702007406195,20724.442072595073,2020-05-15
0,9127.587327455314,26777.08509941363,15773.436259965369,2020-05-18
0,2016.2363055037636,6667.044440054841,20766.331702717445,2020-05-19
0,23275.265816724197,3946.6647475088635,22056.04805018621,2020-05-20
0,-10014.829175401228,-26159.12489927195,-4973.911800859099,2020-05-21
0,1433.5639704401033,-8964.169114766928,-8534.404893540966,2020-05-22
0,-10736.969715437557,3556.5357298511253,7607.178561085558,2020-05-26
0,-126.93235754465582,17976.277589428213,24767.19982656292,2020-05-27
0,-7123.579560096323,14546.608326450962,52543.27179209511,2020-05-28
0,7678.166256490007,8038.2547203385075,69367.04301659229,2020-05-29
0,14222.568457821084,18167.41454689816,19444.345567581397,2020-06-01
0,3421.5961045796025,10112.481106199037,7358.918756868021,2020-06-02
0,-3508.5314643266706,33785.723070363914,16537.567760634567,2020-06-03
0,-13512.390301295341,46435.88621801263,39994.47618943245,2020-06-04
0,17732.288042436187,18935.69191770229,62646.6086357344,2020-06-05
0,6126.2520420533565,3267.1937650132822,44547.99208109487,2020-06-08
0,26946.634831982366,9684.82645597681,42361.629697674696,2020-06-09
0,8631.581840001134,2393.534818287986,32869.86861476927,2020-06-10
0,-39320.83283521561,1896.6977183235276,35683.159649314715,2020-06-11
0,2223.7415617002735,43191.02960675788,55909.57793096599,2020-06-12
0,12575.38136796485,45273.374888370265,64922.477020542035,2020-06-15
0,19539.029269824325,50516.823620719246,1392.1473189776552,2020-06-16
0,8088.219080170953,42030.54729279528,-3774.5494352429732,2020-06-17
0,260.89787587621095,12473.586336450237,7332.0611836636635,2020-06-18
0,3978.757971523317,22694.11529081602,41530.84959015083,2020-06-19
0,17620.24499106758,-30031.26085573159,34648.551696292474,2020-06-22
0,11490.397789875751,-33101.4449719178,51579.925480838414,2020-06-23
0,-20526.123335301516,-25623.914488979055,33650.295878292585,2020-06-24
0,10377.873916768625,28807.97021206144,73935.67839902434,2020-06-25
0,-48220.545695707275,15492.284130603362,76155.3242986877,2020-06-26
0,14792.189784315718,103591.8000931339,155745.78455445528,2020-06-29
0,19511.46066462531,81686.044393978,111060.84596502225,2020-06-30
0,34448.75478260765,79629.95367451571,93400.45871835644,2020-07-01
0,-2566.9109960125893,56604.0627729042,52064.723696907546,2020-07-02
0,34094.69477181957,82809.91657537004,54548.821853842324,2020-07-06
0,-5531.633676407803,21244.92540442067,3689.7987021141817,2020-07-07
0,17674.13840415716,30623.911001399,42627.639435315745,2020-07-08
