,0,1,2,Date
0,-23205.133226689486,-31088.019858757667,-46356.026425739,2020-05-01
0,-23336.163806951736,-39276.04800497682,-64610.82115968417,2020-05-04
0,-19443.352487644188,-7548.226415932316,-2016.491036408683,2020-05-05
0,-16064.20623310097,-12149.925433847182,-18725.00646228542,2020-05-06
0,-25235.267636685723,-50689.54225467504,-65822.21020339344,2020-05-07
0,-17039.921645120925,-17120.023631636177,-14953.717516285828,2020-05-08
0,-21822.780400954467,-29913.50279037388,-37731.57947037047,2020-05-11
0,-19473.541948146034,-28026.798764524592,-25181.183508731723,2020-05-12
0,-19833.758778739346,-27624.488630085114,-28784.300409371022,2020-05-13
0,-19161.599665704012,-22650.91621985898,-24220.364239215716,2020-05-14
0,-19368.874200608057,-15719.34591812387,-22987.81381704533,2020-05-15
0,-21460.170307236076,-36527.60270327185,-45935.41655083194,2020-05-18
0,-18901.393057369627,-16738.54780849039,-13210.050615012768,2020-05-19
0,-19148.583551550626,-28514.412564347662,-30835.839248476506,2020-05-20
0,-18685.001138923704,-18623.052539026336,-23591.116676191956,2020-05-21
0,-16316.586903017129,-21622.21994646579,-24844.848548073816,2020-05-22
0,-18482.532688969583,-14774.926221686079,-15699.366176522815,2020-05-26
0,-17372.534858828618,-13086.138573180555,-8243.681051211017,2020-05-27
0,-22033.972829564696,-26315.55310475406,-30167.445171874573,2020-05-28
0,-17487.75877620495,-21589.077531479845,-18763.850422789397,2020-05-29
0,-20739.58030167739,-32087.29032293863,-30499.8133973385,2020-06-01
0,-19197.251404797986,-18429.00698358113,-18571.54877518495,2020-06-02
0,-20658.727833216715,-29184.688455520525,-31173.8810311924,2020-06-03
0,-19080.887979483618,-17635.48113497789,-15712.431198984144,2020-06-04
0,-18674.22650232348,-16314.21835051737,-13958.18941754564,2020-06-05
0,-22215.264466160897,-26796.254114411007,-27279.458153662694,2020-06-08
0,-21251.66260328437,-27147.627325229114,-23748.546364343874,2020-06-09
0,-21491.833450472765,-29404.431137493288,-35809.442647696436,2020-06-10
0,-18575.339402368485,-21026.898617400853,-21238.762080267257,2020-06-11
0,-19692.636062945636,-16800.815819356307,-17604.008792146822,2020-06-12
0,-14021.889650482766,-5699.4383318878245,-551.2944735280543,2020-06-15
0,-19433.292556847617,-17004.06438597828,-19521.87955559049,2020-06-16
0,-20986.341065777604,-29547.089500489637,-35851.75796711117,2020-06-17
0,-18356.006479299587,-20572.23750348561,-22247.39209822943,2020-06-18
0,-18583.810427346798,-23985.83025143283,-28074.857203431453,2020-06-19
0,-17710.867185388855,-20572.838902589163,-19716.61094306881,2020-06-22
0,-18690.670211986657,-20751.785858675594,-23780.8390605927,2020-06-23
0,-17106.202951313317,-23283.58361515501,-28459.52702362057,2020-06-24
0,-16699.052538910735,-22868.0429512941,-26791.172474306146,2020-06-25
