,0,1,2,Date
0,-34323.86,-76750.49,-102971.59,2020-05-01
0,-34369.7,-76852.98,-103109.1,2020-05-04
0,-34293.73,-76683.11,-102881.18,2020-05-05
0,-34277.74,-76647.37,-102833.23,2020-05-06
0,-34272.8,-76636.3,-102818.39,2020-05-07
0,-34254.54,-76595.49,-102763.63,2020-05-08
0,-34234.19,-76549.98,-102702.57,2020-05-11
0,-34213.89,-76504.58,-102641.67,2020-05-12
0,-34235.18,-76552.18,-102705.53,2020-05-13
0,-34195.03,-76462.41,-102585.08,2020-05-14
0,-34194.78,-76461.86,-102584.35,2020-05-15
0,-34179.22,-76427.05,-102537.65,2020-05-18
0,-34172.49,-76412.0,-102517.46,2020-05-19
0,-34165.15,-76395.61,-102495.46,2020-05-20
0,-34173.28,-76413.78,-102519.85,2020-05-21
0,-34160.33,-76384.83,-102481.0,2020-05-22
0,-34161.17,-76386.7,-102483.52,2020-05-26
0,-34167.15,-76400.06,-102501.44,2020-05-27
0,-34169.45,-76405.2,-102508.34,2020-05-28
0,-34161.74,-76387.98,-102485.23,2020-05-29
0,-34153.71,-76370.02,-102461.13,2020-06-01
0,-34151.35,-76364.73,-102454.04,2020-06-02
0,-34140.44,-76340.35,-102421.32,2020-06-03
0,-34126.24,-76308.6,-102378.73,2020-06-04
0,-34139.13,-76337.43,-102417.4,2020-06-05
0,-34117.21,-76288.41,-102351.64,2020-06-08
0,-34116.47,-76286.74,-102349.4,2020-06-09
0,-34125.12,-76306.1,-102375.37,2020-06-10
0,-34112.51,-76277.89,-102337.53,2020-06-11
0,-34193.07,-76458.02,-102579.2,2020-06-12
0,-34191.86,-76455.33,-102575.58,2020-06-15
0,-34186.96,-76444.36,-102560.87,2020-06-16
0,-34168.66,-76403.45,-102505.99,2020-06-17
0,-34162.91,-76390.58,-102488.72,2020-06-18
0,-34165.14,-76395.58,-102495.43,2020-06-19
0,-34137.57,-76333.92,-102412.7,2020-06-22
0,-34134.22,-76326.43,-102402.65,2020-06-23
0,-34133.48,-76324.78,-102400.44,2020-06-24
0,-34164.25,-76393.59,-102492.76,2020-06-25
0,-34128.7,-76314.09,-102386.09,2020-06-26
0,-34244.65,-76573.36,-102733.94,2020-06-29
0,-34246.43,-76577.34,-102739.28,2020-06-30
0,-34247.12,-76578.89,-102741.37,2020-07-01
0,-34271.27,-76632.9,-102813.82,2020-07-02
0,-34268.82,-76627.41,-102806.46,2020-07-06
0,-34286.02,-76665.88,-102858.07,2020-07-07
0,-34129.18,-76315.16,-102387.53,2020-07-08
0,-34095.25,-76239.3,-102285.75,2020-07-09
0,-34095.81,-76240.55,-102287.43,2020-07-10
0,-34094.54,-76237.7,-102283.61,2020-07-13
0,-34118.38,-76291.01,-102355.14,2020-07-14
0,-34092.64,-76233.46,-102277.92,2020-07-15
0,-34082.81,-76211.48,-102248.43,2020-07-16
